0,-
16777472,CN
16779264,CN
16785408,CN
16842752,CN
16843264,CN
16908288,CN
16909312,CN
16973824,CN
17039616,CN
17301504,CN
17432576,CN
17435392,CN
17563648,CN
18350080,CN
19726336,CN
19922944,CN
20447232,CN
21233664,CN
22020096,CN
24379392,CN
28573696,CN
29097984,CN
30015488,CN
95944192,CN
142606336,CN
234881024,CN
234884096,CN
234946560,CN
234952704,CN
234971136,CN
234974208,CN
235929600,CN
241598464,CN
241605632,CN
241611776,CN
241631232,CN
243400704,CN
243662848,CN
244318208,CN
247479296,CN
247483392,CN
247726080,CN
248250368,CN
248512512,CN
266742016,CN
266744064,CN
266767616,CN
290521600,CN
290522880,CN
290524928,CN
290528000,CN
290531584,CN
290554112,CN
290554624,CN
290555136,CN
290555648,CN
290556160,CN
290557184,CN
290557696,CN
290558464,CN
290561024,CN
290832384,CN
290914304,CN
290927104,CN
290927616,CN
290928128,CN
290928640,CN
290932736,CN
290938880,CN
290949120,CN
290951168,CN
290975744,CN
290979840,CN
291000320,CN
291006976,CN
291009024,CN
291009536,CN
291012608,CN
291309568,CN
291313664,CN
291319808,CN
291332096,CN
291342336,CN
291346432,CN
291354624,CN
291358720,CN
291366912,CN
291377152,CN
291420160,CN
291434496,CN
293568512,CN
300654592,CN
453017600,CN
453025792,CN
453032960,CN
453037056,CN
453509120,CN
455272448,CN
455344128,CN
456271872,CN
456294400,CN
456542208,CN
456562688,CN
456572928,CN
459460608,CN
459505664,CN
459735040,CN
459964416,CN
459983872,CN
460136448,CN
460160000,CN
460324864,CN
460345344,CN
460353536,CN
460423168,CN
460521472,CN
460598272,CN
460933120,CN
460945408,CN
461373440,CN
461626368,CN
462422016,CN
462684160,CN
465043456,CN
603979776,CN
603981824,CN
604241920,CN
605028352,CN
606413824,CN
606414592,CN
606601216,CN
607322112,CN
607649792,CN
610271232,CN
620232704,CN
620625920,CN
620721152,CN
620724224,CN
620733440,CN
620735488,CN
630818304,CN
643921152,CN
645479680,CN
645622016,CN
646081024,CN
654311424,CN
654311936,CN
658505728,CN
662700032,CN
675807232,CN
679313408,CN
679362560,CN
704643072,CN
704645120,CN
704651264,CN
704675840,CN
704741376,CN
704905216,CN
707788800,CN
708706304,CN
708752384,CN
708771840,CN
709885952,CN
710098944,CN
710105088,CN
710950912,CN
710962176,CN
711131136,CN
711161856,CN
711196672,CN
712507392,CN
712713216,CN
713031680,CN
714866688,CN
714875904,CN
716931072,CN
717225984,CN
717815808,CN
717881344,CN
720502784,CN
730333184,CN
736103424,CN
736106496,CN
736111616,CN
736113664,CN
736117760,CN
736120832,CN
736125952,CN
736137216,CN
736141312,CN
736145408,CN
736147456,CN
736151552,CN
736161792,CN
736185344,CN
736187392,CN
736196608,CN
736209920,CN
736211968,CN
736219136,CN
736221184,CN
736230400,CN
736239616,CN
736264192,CN
736291840,CN
736305152,CN
736331776,CN
736335872,CN
736345088,CN
736356352,CN
736357888,CN
736360448,CN
736381952,CN
736388096,CN
736392192,CN
736396288,CN
736400384,CN
736410624,CN
